Name,Leave
South West Wiltshire,0.5688
Newcastle upon Tyne North,0.5683
Elmet and Rothwell,0.5679
Chorley,0.5675
Cynon Valley,0.5673
Fylde,0.5673
Norwich North,0.5673
Llanelli,0.5667
South Ribble,0.5664
North Dorset,0.5661
Vale of Clwyd,0.5656
Ipswich,0.5652
Thirsk and Malton,0.5643
Gedling,0.563
Wansbeck,0.5629
Carshalton and Wallington,0.5626
Gateshead,0.5622
Blaydon,0.5612
St Helens South and Whiston,0.5605
Worthing West,0.5602
Newton Abbot,0.5601
Hastings and Rye,0.5594
Feltham and Heston,0.5593
Maidstone and The Weald,0.5592
Montgomeryshire,0.5584
Newark,0.557
Preston,0.5567
Bolton West,0.5555
Strangford,0.5553
Fareham,0.5552
Hemel Hempstead,0.5549
Bromsgrove,0.5537
Preseli Pembrokeshire,0.5532
Berwick-upon-Tweed,0.553
New Forest West,0.5526
Haltemprice and Howden,0.5523
Suffolk Coastal,0.5521
Penrith and The Border,0.552
East Antrim,0.5519
Carmarthen West and South Pembrokeshire,0.5516
Bradford East,0.5516
Caerphilly,0.5514
South East Cornwall,0.551
South West Devon,0.5508
Southend West,0.5507
North West Durham,0.5505
West Lancashire,0.5495
Central Suffolk and North Ipswich,0.5489
Bootle,0.548
St Ives,0.5477
North West Hampshire,0.5475
Richmond (Yorks),0.5471
Erith and Thamesmead,0.5463
Luton South,0.546
Bury South,0.5451
Delyn,0.5441
"Plymouth, Sutton and Devonport",0.5441
Wolverhampton South West,0.5437
Eastleigh,0.5435
Derby North,0.5425
East Surrey,0.542
Wyre and Preston North,0.542
Broadland,0.541
Leicester East,0.5406
Slough,0.5406
Sevenoaks,0.5404
South Suffolk,0.5403
Neath,0.5402
Bury St Edmunds,0.5399
Totnes,0.5389
Rutland and Melton,0.5388
Blackburn,0.5373
Bournemouth East,0.5369
East Worthing and Shoreham,0.5368
Worcester,0.5368
Bury North,0.5367
Newport West,0.5366
Tewkesbury,0.5365
Wells,0.5363
Basingstoke,0.536
Banff and Buchan,0.5359
Salford and Eccles,0.5359
Devizes,0.5353
Huntingdon,0.5349
North East Bedfordshire,0.5344
Solihull,0.5335
South Northamptonshire,0.5334
Keighley,0.5333
Ilford North,0.5331
Leeds West,0.5327
Bracknell,0.5324
Carmarthen East and Dinefwr,0.5321
Skipton and Ripon,0.5319
Calder Valley,0.5316
Lagan Valley,0.5309
Milton Keynes South,0.5308
Clwyd West,0.5301
Taunton Deane,0.5292
Shrewsbury and Atcham,0.5292
Mid Bedfordshire,0.5288
Tonbridge and Malling,0.5286
Welwyn Hatfield,0.5282
Wealden,0.5277
Upper Bann,0.5262
Congleton,0.5261
Vale of Glamorgan,0.5255
West Worcestershire,0.5252
Broxtowe,0.5251
Mid Derbyshire,0.5247
Harborough,0.5237
Knowsley,0.5234
Shipley,0.5221
Hazel Grove,0.5221
Aberconwy,0.522
Thornbury and Yate,0.5219
"Liverpool, Walton",0.5217
Eddisbury,0.5217
Lancaster and Fleetwood,0.5199
Bedford,0.5195
Belfast East,0.5194
Meon Valley,0.5193
Brecon and Radnorshire,0.5186
Surrey Heath,0.5185
Huddersfield,0.5185
Eltham,0.5182
Aylesbury,0.5179
Portsmouth South,0.5176
Birkenhead,0.5171
Sutton Coldfield,0.517
South Swindon,0.5165
North East Somerset,0.5163
Chippenham,0.5159
Colchester,0.5151
Reading West,0.5151
"Birmingham, Hodge Hill",0.515
North East Hertfordshire,0.5143
"Caithness, Sutherland and Easter Ross",0.5134
Sutton and Cheam,0.5128
Saffron Walden,0.5124
Derbyshire Dales,0.5124
"Birmingham, Perry Barr",0.512
Watford,0.5115
Warrington South,0.5111
West Dorset,0.5104
Stratford-on-Avon,0.51
Ynys Mon,0.5094
Central Devon,0.5089
South Norfolk,0.5088
Hertsmere,0.5084
Leicester West,0.5084
Chichester,0.5073
Chelmsford,0.5068
Weaver Vale,0.5055
High Peak,0.5055
East Devon,0.5041
Coventry South,0.5038
Banbury,0.5035
Somerton and Frome,0.5033
Croydon Central,0.5031
North Wiltshire,0.503
Bridgend,0.5028
Loughborough,0.5009
Colne Valley,0.5006
Blackley and Broughton,0.5004
Wallasey,0.4992
